UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
HPF,MICROSCOPY,Y,Y,Y,N,N,,N,N,1,HPF,,C67274,"CDISC code: C67274
CDISC submission value: HPF
CDISC synonym: High Power Field
CDISC Description: The area visible under the maximum magnification power of the objective being used in microscopy.(NCI)
NCI preferred term: High Power Field",135,[HPF],N,N,N,N,N,N,Y,Y,
L/(h*100kg),FLOW,N,Y,N,Y,N,,N,N,1,0,,,"CDISC not found: Sponser defined. 
(L/h)/(kg/m2) have CDISC code: C120739",60,L/(h.100.kg),N,N,N,N,N,N,Y,Y,
mmol/L/U,CONCENTRATION PER UNIT,Y,Y,Y,N,N,,Y,N,1,0,,,mmol/L/U,37,mmol/L/U,N,N,N,N,N,N,Y,Y,
kJ/min,ENERGY EXPENDITURE,Y,Y,N,Y,N,,N,N,16666666667,0,,,"CDISC not found, kJ/min where 
K=1000, J=Joule, where Joule is defined as m2 x kg x s^(- 2) and min=minutes",55,kJ/min,N,N,N,N,N,N,Y,Y,
1/m,ELIMINATION,Y,Y,N,N,N,,N,N,60,0,,,"No CDISC. Used for Pharmacokinetics measurement Lambda z
",50,1/m,N,N,N,N,N,N,Y,Y,
(L/h)/kg,FLOW,N,Y,N,Y,N,,N,N,1,0,,,"CDISC code: C73756
CDISC submission value: (L/h)/kg
CDISC synonym(s):  (L/h)/kg; (mL/h)/g; mL/g/h
CDISC definition: Milliliters per gram per hour or liters per hour (flow rate), divided by kilograms (weight) or milliliters per hour (flow rate), divided by grams (weight).
NCI preferred term: Milliliter per Gram per Hour
",75,L/h/kg,N,N,N,N,N,N,Y,Y,
h*ng Eq/mL,TIME TIMES CONCENTRATION,N,Y,N,N,N,,N,N,1,0,,,Hours times equivalent nanograms per milliliter (area under the curve).,100,0,N,N,N,N,N,N,Y,Y,
mL/(h*kg),RELATIVE FLOW RATE,Y,Y,N,Y,N,,N,N,1,0,,,"mL/(h*kg) 
",113,mL/(h.kg),N,N,N,N,N,N,Y,Y,
mmol/L/h,CONCENTRATION PER TIME,Y,Y,N,Y,N,,Y,N,1,0,,,"Unit for measurement of endpoint calculated as rate. The unit consists of the main unit per the time unit.

Conversion Factor to Master: 100 mg / dL =100 mg / 100 mL = 1000 mg / L. Divide by molar mass glucose:   1000  mg / L / molecular weigth  = xxx mmol/L. Both master and standard unit has a division with hour, so that does not have impact on the conversion factor.
",36,mmol/L/h,N,N,N,N,N,N,Y,Y,
min*IU/L,TIME TIMES CONCENTRATION,N,Y,N,N,N,,N,N,1,0,,,Sponsor defined: Concentration of one international unit multiplied with min per liter of system volume.,100,min.[IU]/L,N,N,N,N,N,N,Y,Y,
(pmol/L)/(U/kg),CONCENTRATION PER UNIT,N,Y,N,N,N,(pmol/L)/(U/kg),N,N,1,0,,,Concentration in picomol(s) per liter divided by dose in U per kg,1,(pmol/L)/(U/kg),N,N,N,N,N,N,Y,Y,
IU/mL/IU/kg,U_IU Concentration,N,Y,N,N,N,IU/mL/IU/kg,N,N,1,0,,,"IU/mL/IU/kg

The unit is used to calculate IR (incremental recovery) used in haemophilia. It is a PK variable and expresses how much factor activity (that be VIII or IX) increases per infused IU. For recombinant FVIII IR is usually 2%, meaning that FVIII activity in the patient will increase with 2% for every 1 IU infused per kg  meaning a HA patient receiving 50 IU/kg can expect FVIII activity of 100%

The unit for IR in medical papers is usually (IU/ml)/(IU/kg)
IU/ml  referring to the measured increase in activity
IU/kg  referring to the dose      
",2000,[IU]/mL/[IU]/kg,N,N,N,N,N,N,Y,Y,
U/week,DOSE UNIT PER TIME,Y,Y,Y,N,N,U/week,N,N,1,0,,,"Units per week, e.g. units of alcohol/week

[dose subset]",40,U/wk,N,N,Y,N,N,N,Y,Y,
mU/kg/min,DOSE RATE,Y,Y,N,N,N,mU/kg/min,N,N,1,0,,,"CDISC : NOT FOUND

[dose subset]",40,mU/kg/min,N,N,Y,N,N,N,Y,Y,
no unit,NO UNIT,N,N,N,N,N,NO UNIT,N,N,1,0,,,no unit,140,0,N,N,N,N,N,N,Y,Y,
h*ng/mL,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,1000,0,,,PK Parameter Units of Measure. Hours times nanograms per milliliter.,100,h.ng/mL,N,N,N,N,N,N,Y,Y,
min*ug/mL,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,1666667,0,,,"CDISC code: C85727
CDISC submission value: min*ug/mL
CDISC synonym(s): ug*min/mL; min*mg/L; mg*min/L; min*mcg/mL; mcg*min/mL
CDISC definition: Minutes times micrograms per milliliter
NCI preferred term:Minute Times Microgram per Milliliter
",36,min.ug/mL,N,N,N,N,N,N,Y,Y,
1/field,MICROSCOPE DEPENDENT COUNTS,N,Y,N,N,N,,N,N,1,0,,,"1/field - use it only with caution, this is a microscope dependant unit. It is not available in CDISC. For trial NN9928-4048 it was confirmed by the laboratory that conversion between 1/field and /HPF is 1:1. This relation cannot be re-applied for other trial/laboratoires/microscopes without further information and confirmation from the lab used in the given trial.",999,0,N,N,N,N,N,N,Y,Y,
min*pmol/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,Y,N,0.00167,0,,,"Minutes times picomoles per liter (area under the curve). 
",100,min.pmol/L,N,N,N,N,N,N,Y,Y,
/L,CELL COUNT,Y,Y,N,Y,N,,N,N,1000000000,/L,,C105515,"CDISC Code: C105515
CDISC Submission value: /L
CDISC Synonyms: Per Liter
CDISC Definition: A volume unit equal to one liter used as a denominator to build a derived unit expressed as a ratio. (NCI)
NCI Preferred Term: Per Liter",30,/L,N,N,N,N,N,N,Y,Y,
Steps/h,COUNT PER TIME,Y,Y,N,N,N,,N,N,1,0,,,Steps per hour,39,/h,N,N,N,N,N,N,Y,Y,
mm*h,LENGTH PER TIME,N,Y,N,Y,N,,N,N,1,0,,,"Sponsor defined: Millimeters multiplied with Hours
",120,mm/h,N,N,N,N,N,N,Y,Y,
h*mmol/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,Y,N,1000000,0,,,h*mmol/L,100,h.mmol/L,N,N,N,N,N,N,Y,Y,
E%,PERCENTAGE,N,Y,N,N,N,,N,N,1,0,,,"E%
Is used for energy content in food",1520,0,N,N,N,N,N,N,Y,Y,
pmol*l/(min*mmol*kg),CONCENTRATION PER TIME,N,Y,N,Y,N,,Y,N,1,0,,,"Picomoles pr minutes millimoles per kilogram (area under the curve)
",36,pmol.l/(min.mmol.kg),N,N,N,N,N,N,Y,Y,
/regimen period,COUNT,N,Y,N,N,N,/regimen period,N,N,1,0,,,Sponsor Defined: /regimen period,39,0,N,N,N,N,N,N,Y,Y,
min*nmol/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,min*nmol/L,Y,N,1667,0,,,Minutes times nanomoles per liter (area under the curve).,100,min.nmol/L,N,N,N,N,N,N,Y,Y,
