UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
/uL,CELL COUNT,Y,Y,N,Y,Y,,N,N,1,10^6/L,,C67452,"CDISC code: C67254
CDISC submission value: /uL
CDISC synonym: Per Microliter
CDISC definition: A volume unit equal to one microliter used as a denominator to build a derived unit expressed as a ratio. (NCI)
NCI Preferred Term: Per Microliter",30,10*6/L,N,N,N,N,N,N,Y,Y,
fL,VOLUME,Y,Y,N,Y,N,,N,N,1E-15,fL,,C64780,The unit of volume equal 1E-15 liter.,2130,fL,N,N,N,N,N,N,Y,Y,
Proportion of 1,PERCENTAGE,Y,Y,N,N,N,Fraction of 1,N,N,100,fraction of 1,,C105484,"CDISC code: C105484
CDISC submission value: fraction of 1
CDISC synonym: Proportion of 1 (SDTM CT 2017-12-22) 
CDISC Description: A unit for expressing a percentage as a decimal whereby the total value is measured as a fraction of the numeric 1.
",1520,{fraction of 1},N,N,N,N,N,N,Y,Y,
um^3,VOLUME,Y,Y,N,N,N,,N,N,1E-18,0,,,"um^3, cubic micrometers",1521,um3,N,N,N,N,N,N,Y,Y,
cm^2,AREA,Y,Y,Y,Y,N,cm2,N,N,1,cm2,,C48460,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU"" CodeSubmValue=""cm2""></CodeList>
</CodeLists>
CDISC code: C48460
CDISC submission value: cm2
CDISC synonym: Square Centimeter
CDISC Description: A unit of area measurement equal to a square measuring one centimeter on each side. One square centimeter is equal to 10E-4 square meter.(NCI)
NCI preferred term: Square Centimeter
",1,cm2,N,N,N,N,N,N,Y,Y,
g/cm^2,BMI,Y,Y,N,Y,N,g/cm2,N,N,10,g/cm2,,C71201,"CDISC code: C71201
CDISC submission value: g/cm2
CDISC synonym: Gram per Square Centimeter
CDISC Description: A unit of area density defined as a spread rate at which one gram of a substance is spread over the area of one square centimeter. The unit is also used as a dose calculation unit.(NCI)
NCI preferred term: Gram per Square Centimeter",25,g/cm2,N,N,N,N,N,N,Y,Y,
month,TIME,N,Y,N,N,N,MONTHS,N,N,262974383,MONTHS,,C29846,"CDISC code: C29846
CDISC submission value: MONTHS
CDISC synonym(s): Month
CDISC definition: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks. (NCI)
NCI preferred term:Month

[age subset]",1950,mo,Y,N,N,Y,N,N,Y,Y,
year,TIME,Y,Y,N,N,N,YEARS,N,N,31557600,YEARS,,C29848,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""AGEU""></CodeList>
</CodeLists>
CDISC code: C29848
CDISC submission value: YEARS
CDISC synonym: Year
CDISC Description: The period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period. (NCI)
NCI preferred term: Year

[age subset]
[study time subset]
[time subset]",1950,a,Y,Y,N,Y,N,N,Y,Y,
10^8/L,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^8/L,,C105489,A unit of measurement equal to 10 to the eighth power of entities per unit of volume equal to one liter.,1,10^8/l,N,N,N,N,N,N,Y,Y,
/month,COUNT PER TIME,N,Y,N,N,N,,N,N,136892539,/month,,C64498,"CDISC code:C64498
CDISC submission value:/month
CDISC Synonym(s): Every Month; Per Month
CDISC definition: Every month. (NCI)
NCI Preferred Term : Monthly",39,/mo,N,N,N,N,N,N,Y,Y,
pg,WEIGHT,Y,Y,N,Y,N,,N,N,1E-15,pg,,C64551,"CDISC code: C64551
CDISC submission value: pg
CDISC synonym: Picogram
CDISC Description: A unit of mass equal to one trillionth of a gram (10E-12 gram).(NCI)
NCI preferred term: Picogram

[dose subset]
[strength subset]
",2200,pg,N,N,Y,N,Y,N,Y,Y,
ug/L,CONCENTRATION,Y,Y,N,Y,N,,N,N,0.000001,ug/L,,C67306,"CDISC code: C67306
CDISC submission value: ug/L
CDISC synonym: mg/m3; Microgram per Liter; Milligram per Cubic Meter; Nanogram per Milliliter; ug/L; ng/mL; mcg/L
CDISC Description: A unit of mass concentration defined as the concentration of one microgram of a substance per unit volume of the mixture equal to one liter. The concept also refers to the unit of mass density (volumic mass) defined as the density of substance which mass equal to one microgram occupies the volume one liter.(NCI)
NCI preferred term: Microgram per Liter

[strength subset]
",35,ng/mL,N,N,N,N,Y,N,Y,Y,
Arbitrary U,ARBITRARINESS,N,Y,N,N,N,,N,N,1,Arbitrary U,,C75765,"A unit based on or subject to individual judgment, preference, or predetermined reference. (NCI)",1,[arb'U],N,N,N,N,N,N,Y,Y,
CARTRIDGE,DOSE UNIT,N,Y,N,N,N,,N,N,1,CARTRIDGE,,C48481,"A dosing measurement based on the cartridge unit.(NCI)

[dose subset]",1,{CARTRIDGE},N,N,Y,N,N,N,Y,Y,
ug/kg,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,ug/kg,,C67396,A unit of a mass fraction expressed as a number of micrograms of substance per kilogram of mixture. The unit is also used as a dose calculation unit.(NCI),1,ug/kg,N,N,N,N,N,N,Y,Y,
J,ENERGY,Y,Y,Y,Y,N,,N,N,1,Joule,,C42548,"CDISC code: C42548
CDISC submission value: Joule
CDISC synonym: Joule
CDISC Description: A unit of electrical, mechanical, and thermal energy (as well as work and quantity of heat), equal to the work done when the point of application of a force of one Newton is displaced through a distance of one meter in the direction of the force or the work done when a current of one Ampere passes through a resistance of one ohm for one second. One joule is equal to 0.23889 gram-calorie (mean).(NCI)
NCI preferred term: Joule",52,J,N,N,N,N,N,N,Y,Y,
cm/s,VELOCITY,Y,Y,N,Y,N,,N,N,1,cm/s,,C102406,"A unit of both speed (scalar) and velocity (vector), defined as the distance of one centimeter travelled per unit time equal to one second.",2110,cm/s,N,N,N,N,N,N,Y,Y,
Bq/mL,VOLUMETRIC RADIOACTIVITY,Y,Y,Y,Y,N,,N,N,1,Bq/mL,,C71167,"CDISC code: C71167
CDISC submission value: Bq/mL
CDISC synonym: Becquerel per Milliliter; kBq/L; Kilobecquerel per Liter
CDISC Description: A unit of volumetric radioactivity concentration defined as a concentration of a radionuclide with an activity equal to one Becquerel per unit volume equal to one milliliter or one kilobecquerel per liter.(NCI)
NCI preferred term: Becquerel per Milliliter",2150,Bq/mL,N,N,N,N,N,N,Y,Y,
mcg/L,CONCENTRATION,Y,Y,N,Y,N,,N,N,0.000001,ug/L,,C67306,"Micrograms per liter.

In its current use NN defines mcg=ug as confirmed by CHHE. But UCUM defines it as mcg/L= millicentigram/Liters. There is a factor 10 difference. This means that mcg/L is defined as and linked to ng/mL (ug/L). ",1,ng/mL,N,N,N,N,N,N,Y,Y,
10^4/mm^3,CELL COUNT,Y,Y,N,Y,N,,N,N,10,10^10/L,,C105517,"Equal to 10^10/L
CDISC:Not Found",30,10^10/L,N,N,N,N,N,N,Y,Y,
mmol/L,CONCENTRATION,Y,Y,N,Y,N,,Y,N,1,mmol/L,,C64387,"CDISC code: C64387
CDISC submission value: mmol/L
CDISC synonym: Millimole per Liter; umol/mL; Micromole per Milliliter; mol/m3; Mole per Cubic Meter; mcmol/mL; mmol/L; nmol/uL
CDISC Description: A unit of concentration (molarity unit) equal to one thousandth of a mole (10E-3 mole) of solute per one liter of solution.(NCI)
NCI preferred term: Millimole per Liter

[strength subset]
",35,mmol/L,N,N,N,N,Y,N,Y,Y,
10^6/dL,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^7/L,,C98786,"A unit of measurement equal to 10 to the seventh power of the number of entities per unit of volume equal to one liter.

CDISC code: 10^7/L
CDISC synonym: 10^6/dL",30,10*7/l,N,N,N,N,N,N,Y,Y,
mg/d,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,6944,mg/day,,C67399,"unit for measurement of 24-hour quantitatively collected urine.
CDISC code: C67399
CDISC submission value: mg/day
CDISC synonym(s):  Milligram per Day
CDISC definition: A unit of measure referring to the ratio between mass expressed in milligrams per day.(NCI)
NCI preferred term: Milligram per 24 Hours

",120,mg/d,N,N,N,N,N,N,Y,Y,
mg/min,MASS FLOW RATE,Y,Y,Y,Y,N,,N,N,1,mg/min,,C73742,"CDISC code: C73742
CDISC submission value: mg/min
CDISC synonym: Milligram per Minute
CDISC Description: Milligrams per minute.
NCI preferred term: mg/min

[dose subset]",120,mg/min,N,N,Y,N,N,N,Y,Y,
mL/m2,VOLUME PER AREA,Y,Y,N,Y,N,,N,N,1,mL/m2,,C73761,Milliliters (volume) divided by meters squared (surface area).,1,mL/m2,N,N,N,N,N,N,Y,Y,
um2,AREA,Y,Y,N,Y,N,,N,N,0.00000001,um2,,C73770,Micrometer squared,1,um2,N,N,N,N,N,N,Y,Y,
10^7/L,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^7/L,,C98786,A unit of measurement equal to 10 to the seventh power of the number of entities per unit of volume equal to one liter.,1,10*7/l,N,N,N,N,N,N,Y,Y,
10^10/L,CELL COUNT,Y,Y,N,Y,N,,N,N,10,10^10/L,,C105517,"A unit of measurement equal to 10 to the tenth power of entities per unit of volume equal to one liter. (NCI)
Ten Billion Per Liter
Synonym(s): 10^4/mm3; 10^4/uL; 10^7/mL",30,10^10/L,N,N,N,N,N,N,Y,Y,
mL/kg/min,ENERGY EXPENDITURE,N,Y,N,Y,N,,N,N,1,mL/kg/min,,C73760,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C73760
CDISC submission value: mL/kg/min
CDISC synonym: Milliliter per Kilogram per Minute; uL/g/min; mL/min/kg; uL/min/g; mL/kg/min
CDISC Description: Milliliters per kilogram per minute.
NCI preferred term: mL/kg/min
",55,mL/kg/min,N,N,N,N,N,N,Y,Y,
CUP,DOSE UNIT,N,Y,N,N,N,,N,N,1,CUP,,C54703,"A dosing measurement based on the cup unit.(NCI)

[dose subset]",1,{cup},N,N,Y,N,N,N,Y,Y,
mIU/L,U_IU Concentration,Y,Y,N,N,N,,N,N,1,mIU/L,,C67405,"mIU/L


[strength subset]
",2000,u[IU]/mL,N,N,N,N,Y,N,Y,Y,
h,TIME,Y,Y,N,Y,N,,N,N,3600,HOURS,,C25529,"CDISC code: C25529
CDISC submission value: HOURS
CDISC synonym: Hour; hr
CDISC Description: A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day. (NCI)
NCI preferred term: Hour

",1950,h,N,N,N,N,N,N,Y,Y,
nM/min,CONCENTRATION PER TIME,Y,Y,N,Y,N,,Y,N,0.000006,nmol/L/min,,C122219,"CDISC Submission value: nmol/L/min
CDISC Synonym: nmol*min/L; pmol/mL/min
CDISC code:C122219
CDISC definition:A rate unit equal to the number of nanomoles per unit of volume equal to one liter per unit of time equal to one minute.
NCI preferred term:Nanomole per Liter per Minute
",36,nmol/l/min,N,N,N,N,N,N,Y,Y,
10^6/uL,CELL COUNT,Y,Y,N,Y,Y,,N,N,1000,10^12/L,,C67308,"Equal to 10^12/L
CDISC:Not Found",30,10*12/L,N,N,N,N,N,N,Y,Y,
DAYS,TIME,Y,Y,N,Y,N,,N,N,86400,DAYS,,C25301,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""AGEU""></CodeList>
</CodeLists>
CDISC code: C25301
CDISC submission value: DAYS
CDISC synonym: Day
CDISC Description: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours. This also refers to a specific day. (
NCI preferred term: Day
",1950,d,N,N,N,N,N,N,Y,Y,
cm2,AREA,Y,Y,N,Y,N,,N,N,1,cm2,,C48460,A unit of area measurement equal to a square measuring one centimeter on each side. One square centimeter is equal to 1E-4 square meter. (NCI),1,cm2,N,N,N,N,N,N,Y,Y,
mL,VOLUME,Y,Y,N,Y,N,,N,N,1,mL,,C28254,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C28254
CDISC submission value: mL
CDISC synonym: Milliliter; cm3
CDISC Description: The unit of volume equal to one thousandth of a liter, one cubic centimeter, 10E-6 cubic meter, or approximately to 0.061 023 7 cubic inch.(NCI)
NCI preferred term: Milliliter

[strength subset]

",2130,mL,N,N,Y,N,Y,N,Y,Y,
ng/g,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,ug/kg,,C67396,Sponsor defined: nanogram/gram.,129,ug/kg,N,N,N,N,N,N,Y,Y,
mCi/L,VOLUMETRIC RADIOACTIVITY,Y,Y,N,Y,N,,N,N,37000,mCi/L,,C71174,A unit of volumetric radioactivity concentration defined as a concentration of a radionuclide with an activity equal to one thousandth of a Curie per unit volume equal to one liter.(NCI),1,mCi/l,N,N,N,N,N,N,Y,Y,
mmol/mol,MASS FRACTION,Y,Y,N,Y,Y,,Y,N,1000,mmol/mol,,C111253,"mmol/mol. New unit to report HBA1c in.
",1520,mmol/mol,N,N,N,N,N,N,Y,Y,
s,TIME,Y,Y,Y,Y,N,,N,N,1,s,,C42535,"CDISC code: C42535
CDISC submission value: sec
CDISC synonym: Second
CDISC Description: The second is a unit of time with a duration of 919 263 177 0 periods of the specified light radiation corresponding to the transition between the two hyperfine levels of the cesium 133 atom in its ground state at 0 K. According to the convention, 60 seconds constitute one minute; 3,600 seconds constitute one hour. Abbreviation Sec. is acceptable in non-scientific usage only.(NCI)
NCI preferred term: Second

[time subset]",1950,s,N,N,N,Y,N,N,Y,Y,
AMPULE,DOSE UNIT,N,Y,N,N,N,,N,N,1,AMPULE,,C48473,"A dosing measurement based on the ampule unit.(NCI)

[dose subset]",1,{Ampule},N,N,Y,N,N,N,Y,Y,
mm/h,VELOCITY,Y,Y,N,Y,N,,N,N,0.0000278,mm/h,,C67419,"CDISC code: C67419
CDISC submission value: mm/h
CDISC synonym: Millimeter per Hour
CDISC Description: A unit of both speed (scalar) and velocity (vector), defined as the distance of one millimeter travels per unit time equal to one hour.(NCI)
NCI preferred term: Millimeter per Hour",2110,mm/h,N,N,N,N,N,N,Y,Y,
ng/L,CONCENTRATION,Y,Y,N,Y,N,,N,N,0.000000001,ng/L,,C67327,"CDISC code: C67327
CDISC submission value: ng/L
CDISC synonym: ug/m3; Microgram per Cubic Meter; ng/L; pg/mL
CDISC Description: A unit of mass concentration defined as the concentration of one nanogram of a substance per one liter of the mixture, or one picogram of a substance in unit volume of the mixture equal to one milliliter, or one microgram of a substance per one cubic meter of the mixture. The concept also refers to the metric unit of mass density (volumic mass) defined as the density of substance which mass equal to one nanogram occupies the volume one liter.(NCI)
NCI preferred term: Nanogram per Liter

[strength subset]
",35,pg/mL,N,N,N,N,Y,N,Y,Y,
1/day,ELIMINATION,Y,Y,N,Y,N,,N,N,4166,/day,,C25473,"CDISC code: C25473
CDISC submission value: /day
CDISC synonym: Daily; Per Day
CDISC Description: Occurring or done each day. (NCI)
NCI preferred term: Daily",50,/d,N,N,N,N,N,N,Y,Y,
Hz,BEAT RATE,Y,Y,N,Y,N,,N,N,60,Hz,,C42545,"CDISC submission value: Hz
A unit of frequency equal to one cycle per second.(NCI)",100,Hz,N,N,N,N,N,N,Y,Y,
HOURS,TIME,Y,Y,N,Y,N,,N,N,3600,HOURS,,C25529,"A unit of measurement of time equal to 60 minutes.
",1950,h,N,N,N,N,N,N,Y,Y,
kg/m^2,BMI,Y,Y,Y,Y,N,,N,N,1,kg/m2,,C49671,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C49671
CDISC submission value: kg/m2
CDISC synonym: Kilogram per Square Meter
CDISC Description: A unit expressed as kilogram of mass per square meter of area.(NCI)
NCI preferred term: Kilogram Per Square Meter",25,kg/m2,N,N,N,N,N,N,Y,Y,
mg/kg/min,RELATIVE MASS FLOW RATE,Y,Y,N,Y,N,,N,N,1,mg/kg/min,,C71207,"CDISC code: C71207
CDISC submission value: mg/kg/min
CDISC synonym: Milligram per Kilogram per Minute
CDISC Description: A dose calculation unit equal to one thousandth of a gram of a preparation per one kilogram of body mass administered per unit of time equal to one minute.(NCI)
NCI preferred term: Milligram per Kilogram per Minute",1735,mg/kg/min,N,N,N,N,N,N,Y,Y,
TABLET,DOSE UNIT,N,Y,N,N,N,,N,N,1,TABLET,,C48542,"A dosing measurement based on the tablet unit.(NCI)

[dose subset]",1,{Tablet},N,N,Y,N,N,N,Y,Y,
10^3/mm^3,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^9/L,,C67255,"CDISC Submission Value: 10^9/L
Synonyms: 1/nL; 10^3/mm3; 10^3/uL; 10^6/mL; G/L; GI/L; Giga per Liter
A unit of measurement equal to 10 to the ninth power of the number of entities per unit of volume equal to one liter.",30,10*9/L,N,N,N,N,N,N,Y,Y,
copies/uL,CONCENTRATION,N,Y,N,N,N,,N,N,,copies/uL,,C116237,"CDISC Submission Value: copies/uL
Code: C116237
CDISC Definition: A unit of concentration expressed as a number of copies per unit volume equal to one microliter.
NCI Preferred Term: Copies per Microliter",1,{copies}/ul,N,N,N,N,N,N,Y,Y,
1/pL,CELL COUNT,Y,Y,N,Y,N,,N,N,1000,10^12/L,,C67308,"equal to 10^12/L

CDISC code: C67308
CDISC submission value: 10^12/L
CDISC synonym:1/pL",30,10*12/L,N,N,N,N,N,N,Y,Y,
mm^3,VOLUME,Y,Y,N,Y,N,,N,N,0.000001,uL,,C48153,"mm^3 is equivalent to
CDISC code: C48153
CDISC submission value: uL
CDISC synonym(s): Microliter; mcL; mm3
CDISC definition: A unit of volume accepted for use with the SI and equal to one millionth of a liter (10E-6 liter)(NCI)
NCI preferred term: Microliter",2130,uL,N,N,N,N,N,N,Y,Y,
WEEKS,TIME,Y,Y,N,N,N,,N,N,604800,WEEKS,,C29844,"Any period of seven consecutive days. (NCI)
",1,wk,N,N,N,N,N,N,Y,Y,
1/nL,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^9/L,,C67255,"equal to 10^9/L
No CDISC standard for submission value or definition exist
",30,10*9/L,N,N,N,N,N,N,Y,Y,
mg%,CONCENTRATION,Y,Y,N,N,N,,N,N,1,mg/dL,,C67015,Found this explanation using this link:https://fscimage.fishersci.com/webimages_FSC/downloads/winek.pdf,35,mg/dL,N,N,N,N,N,N,Y,Y,
mL/h,FLOW,Y,Y,Y,Y,N,,N,N,1,mL/h,,C66962,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C66962
CDISC submission value: mL/h
CDISC synonym: Milliliters per Hour
CDISC Description: A unit of volumetric flow rate defined as the rate at which one milliliter of matter travels during the period of time equal to one hour.(NCI)
NCI preferred term: Milliliter per Hour
",60,mL/h,N,N,N,N,N,N,Y,Y,
Kcal/24h,ENERGY EXPENDITURE,Y,Y,N,N,N,,N,N,484,kcal/day,,C139135,Kcal/24h,55,kcal/d,N,N,N,N,N,N,Y,Y,
umol/L,CONCENTRATION,Y,Y,N,Y,N,,Y,N,0.000001,umol/L,,C48508,"CDISC code: C48508
CDISC submission value: umol/L
CDISC synonym: Micromole per Liter
CDISC Description: A unit of concentration (molarity unit) equal to one one-millionth of a mole (10E-6 mole) of solute per one liter of solution. (NCI)
NCI preferred term: umol/L

[strength subset]
",35,umol/L,N,N,N,N,Y,N,Y,Y,
U/KG,RELATIVE DOSE UNIT,Y,Y,Y,N,N,,N,N,1,U/kg,,C67465,"U/kg, Units per Kilogram to be used for derived topic codes on dosing 
",1720,{Unit}/kg,N,N,N,N,N,N,Y,Y,
ug,WEIGHT,Y,Y,N,Y,N,,N,N,0.000000001,ug,,C48152,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C48152
CDISC submission value: ug
CDISC synonym: Microgram; mcg
CDISC Description: The unit of mass equal to one millionth of a gram or one thousandth of a milligram.(NCI)
NCI preferred term: Microgram

[dose subset]
[strength subset]
",2200,ug,N,N,Y,N,Y,N,Y,Y,
mU/L,U_IU Concentration,Y,Y,N,N,Y,,N,N,1,mU/L,,C67408,"CDISC code: C67408
CDISC submission value: mU/L
CDISC synonym: 
CDISC Description: An arbitrary unit of substance concentration equal to the concentration at which one liter of mixture contains one thousandth of a unit of a substance.
NCI preferred term: Microunit per Milliliter

[strength subset]
",2000,uU/mL,N,N,N,N,Y,N,Y,Y,
/sec,COUNT PER TIME,Y,Y,N,Y,N,,N,N,3600,/s,,C66965,Per second,1,/s,N,N,N,N,N,N,Y,Y,
/h,COUNT PER TIME,Y,Y,N,Y,N,,N,N,1,/h,,C66966,"CDISC code: C66966
CDISC submission value: /h
CDISC synonym(s): Per Hour
CDISC definition: A rate of occurrences of something within a period of time equal to sixty minutes.
NCI preferred term: /h",39,/h,N,N,N,N,N,N,Y,Y,
copies/mL,CONCENTRATION,N,Y,N,N,N,,N,N,,copies/mL,,C100900,"CDISC code: C100900
CDISC submission value: copies/mL
CDISC synonym(s): 
CDISC definition: A unit of concentration expressed as a number of copies per unit volume equal to one milliliter.
NCI preferred term: Copies per Milliliter
",37,{copies}/mL,N,N,N,N,N,N,Y,Y,
L,VOLUME,Y,Y,Y,Y,N,,N,N,1,L,,C48505,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C48505
CDISC submission value: L
CDISC synonym: Liter
CDISC Description: A unit of volume equal to a cubic decimeter, or one thousandth of cubic meter, or 1000 cubic centimeters, or approximately 61.023 744 cubic inches.(NCI)
NCI preferred term: Liter
",2130,L,N,N,N,N,N,N,Y,Y,
DU/mL,U_IU Concentration,N,Y,N,N,N,,N,N,1,IU/mL,,C67377,"Dose Units/mililiter
",2000,[IU]/mL,N,N,N,N,N,N,Y,Y,
ug/dL,CONCENTRATION,Y,Y,N,Y,N,,N,N,0.00001,ug/dL,,C67305,"CDISC code: C67305
CDISC submission value: ug/dL
CDISC synonym: Microgram per Deciliter
CDISC Description: A unit of mass concentration defined as the concentration of one microgram of a substance per unit volume of the mixture equal to one deciliter. The concept also refers to the unit of mass density (volumic mass) defined as the density of substance which mass equal to one microgram occupies the volume one deciliter. (NCI)
NCI preferred term: ug/dL",35,ug/dL,N,N,N,N,N,N,Y,Y,
PACK,DOSE UNIT,N,Y,N,N,N,,N,N,1,PACK,,C62653,"A number of individual items packaged as a unit.

[dose subset]",1,{Pack},N,N,Y,N,N,N,Y,Y,
umol/mL,CONCENTRATION,Y,Y,N,Y,N,,Y,N,1,mmol/L,,C64387,"CDISC Value found
CDISC Code: C64387
CDISC Submission Value: mmol/L
CDISC Synonym(s): umol/mL
CDISC Definition: A unit of concentration (molarity unit) equal to one millimole of solute per liter of solution.
NCI Preferred Term: Millimole per Liter 
Sponser defined. 
micromol / milliliter",35,umol/mL,N,N,N,N,Y,N,Y,Y,
GPL U/mL,U_IU Concentration,N,Y,N,N,N,,N,N,1,GPL U/mL,,C117971,"A unit for semiquantitative measurement of IgG autoantibodies to proteins associated with negatively charged phospholipids evaluated against an established reference standard, per unit of volume equal to one milliliter.",1,[GPL'U]/mL,N,N,N,N,N,N,Y,Y,
kg/L,CONCENTRATION,Y,Y,N,Y,N,,N,N,1000,kg/L,,C64566,"SDTM Terminology 2017-06-30
Code:C64566
CDISC Code Value:  
CDISC Value Label: kg/L       
CDISC synonym(s): Gram per Milliliter; Kilogram per Liter; g/mL; gram/mL; kg/L; mg/uL
CDISC definition: 
A unit of concentration or mass density equal to one gram of substance per milliliter of solution or one kilogram of substance per l
iter of solution.
NCI preferred term: Kilogram per Liter
",35,kg/L,N,N,N,N,N,N,Y,Y,
nmol,WEIGHT,Y,Y,N,Y,N,,Y,N,1E-12,nmol,,C48517,"CDISC code: C48517
CDISC submission value: nmol
CDISC synonym(s): Nanomole 
CDISC definition: A unit of amount of substance equal to one billionth (10E-9) of a mole.
NCI preferred term: Nanomole

[dose subset]
[strength subset]
",2200,nmol,N,N,Y,N,Y,N,Y,Y,
mg/(kg*min),RELATIVE MASS FLOW RATE,Y,Y,Y,Y,N,,N,N,1,mg/kg/min,,C71207,"CDISC code: C71207
CDISC submission value: mg/kg/min
CDISC synonym: Milligram per Kilogram per Minute
CDISC Description: A dose calculation unit equal to one thousandth of a gram of a preparation per one kilogram of body mass administered per unit of time equal to one minute.(NCI)
NCI preferred term: Milligram per Kilogram per Minute",1735,mg/kg/min,N,N,N,N,N,N,Y,Y,
mmHg,PRESSURE,Y,Y,N,Y,N,,N,N,1333222,mmHg,,C49670,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>",1550,mm[Hg],N,N,N,N,N,N,Y,Y,
ng Eq/mL,CONCENTRATION,Y,Y,N,N,N,,Y,N,0.000001,ugEq/L,,C122230,"Nanogram equivalent per millilitre.

CDISC code: ugEq/L
CDISC synonym: ngEq/mL",35,ug.eq/l,N,N,N,N,N,N,Y,Y,
IU,U_IU Concentration,N,Y,N,N,N,,N,N,1,IU,,C48579,"CDISC code: C48579
CDISC submission value: IU
CDISC synonym: IE; International Unit
CDISC Description: The unitage assigned by the WHO (World Health Organization) to International Biological Standards - substances, classed as biological according to the criteria provided by WHO Expert Committee on Biological Standardization, to enable the results of biological and immunological assay procedures to be expressed in the same way throughout the world. The definition of an international unit is generally arbitrary and technical, and has to be officially approved by the International Conference for Unification of Formulae.(NCI)
NCI preferred term: International Unit
",2000,[IU],N,N,N,N,N,N,Y,Y,
fmol,WEIGHT,Y,Y,N,Y,N,,Y,N,1E-18,fmol,,C68854,"CDISC code: C68854
CDISC submission value: fmol
CDISC synonym: Femtomole
CDISC Description: A unit of amount of substance equal to one quadrillionth of a mole (10E-15 mole).(NCI)
NCI preferred term: Femtomole

[strength subset]
",2200,fmol,N,N,N,N,Y,N,Y,Y,
MONTHS,TIME,N,Y,N,N,N,,N,N,1,MONTHS,,C29846,"One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks. (NCI)
",1,mo,N,N,N,N,N,N,Y,Y,
10^9/mL,CELL COUNT,Y,Y,N,Y,N,,N,N,1000,10^12/L,,C67308,"Sponsor defined.
10^9/mL",30,10*12/L,N,N,N,N,N,N,Y,Y,
ppm,MASS FRACTION,N,Y,N,Y,N,,N,N,1,ppm,,C48523,"CDISC code: C48523
CDISC submission value: ppm
CDISC synonym: Part per Million
CDISC Description: A unit of measurement referring to one entity counted per one million entities.(NCI)
NCI preferred term: Part Per Million",114,[ppm],N,N,N,N,N,N,Y,Y,
deg,DEGREES,Y,Y,Y,Y,N,,N,N,1,deg,,C68667,"CDISC Submission value: deg
CDISC Synonym: Degree Unit of Plane Angle
CDISC code:C68667
CDISC definition: A unit of plane angle measurement equal to the length of the arc cut out by the angle, divided by the circumference of the circle, and multiplied by 360. The symbol for degrees is a small superscript circle. One radian is about 57 degrees and one degree is pi/180 radians.(NCI",40,deg,N,N,N,N,N,N,Y,Y,
umol/kgFFM/min,DOSE RATE,N,Y,N,Y,N,,N,N,1,umol/kg/min,,C126082,"CDISC not found: 
Sponser defined. 
Micromole per kilogram fat free mass (FFM) per minute

",40,umol/kg/min,N,N,N,N,N,N,Y,Y,
