ACTIVITY_INSTANCE_CLASS,ACTIVITY_ITEM_CLASS,DISPLAY_LABEL,DEFINITION,NCI_C_CODE,SPONSOR_CONCEPT_CODE,LEGACY_CDW_COLUMN,MANDATORY,IS_ADAM_PARAM_SPECIFIC_ENABLED,ADDITIONAL_OPTIONAL_ACTIVITY_ITEM,DEFAULT_LINKED_TO_INSTANCE,ORDER,DATA_COLLECTION,SEMANTIC_ROLE,SEMANTIC_DATA_TYPE,CODELIST
Events,hospitalisation,Hospitalisation,The serious event that requires or prolongs hospitalization.,C68605,,,No,No,Yes,No,27,Yes,RECOQUAL,CTTERM,NY
Events,life_threatening,Life Threatening,The serious event is life threatening.,C82508,,,No,No,Yes,No,28,Yes,RECOQUAL,CTTERM,NY
Events,toxicity,Toxicity,Toxicity,C27990,,,No,No,Yes,No,29,Yes,RECOQUAL,TEXT,
Events,toxicity_grade,Toxicity Grade,Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.XML document.,C82528,,,No,No,Yes,No,30,Yes,RECOQUAL,TEXT,
Events,medically_imp_serious_event,Medically Important Serious Event,An important serious medical event,C82521,,,No,No,Yes,No,31,Yes,RECOQUAL,CTTERM,NY
Finding,reference_id,Reference Identifier,Reference identifier,C82531,,,No,No,Yes,No,1,Yes,IDENTIFIER,TEXT,
Finding,test_code,Test Code,Test code linkage to external or sponsor-defined controlled  terminology,C82503,,,Yes,No,No,No,2,Yes,TOPIC,CTTERM,DDTESTCD;FATESTCD;TSQM01TC;RPTESTCD;AIMS01TC;SCTESTCD;VSTESTCD;ZATESTCD;BSTESTCD;CVTESTCD;DATESTCD;DOTESTCD;DUTESTCD;EGTESTCD;ADCTC;ISTESTCD;LBTESTCD;MBTESTCD;MITESTCD;MUSCTSCD;MOTESTCD;MSTESTCD;NVTESTCD;OETESTCD;PCTESTCD;PFTESTCD;RETESTCD;SRTESTCD;SSTESTCD;TRTESTCD;TUTESTCD;URNSTSCD;GASTROCD
Finding,test_name,Test Name,Test name linkage to external or sponsor-defined controlled  terminology,C82541,,,Yes,No,No,No,3,Yes,SYNOQUAL,CTTERM,DDTEST;FATEST;TSQM01TN;RPTEST;AIMS01TN;VSTEST;ZATEST;BSTEST;CVTEST;DATEST;DOTEST;DUTEST;EGTEST;ADCTN;ISTEST;LBTEST;MBTEST;MITEST;MUSCTS;MOTEST;MSTEST;NVTEST;OETEST;PCTEST;PFTEST;RETEST;SRTEST;SSTEST;TRTEST;TUTEST;URNSTS;GASTRO
Finding,object_of_observation,Object of Observation,Object of the observation,C82546,,,No,No,Yes,No,4,Yes,RECOQUAL,TEXT,
Finding,repitition_number,Repitition Number,Repitition number,,,,No,No,Yes,No,5,No,RECOQUAL,FLOAT,
Finding,test_detail,Test Detail,"Measurement, Test or Examination Detail",C117062,,,No,No,Yes,No,6,Yes,RECOQUAL,CTTERM,MIFTSDTL
Finding,finding_category,Finding Category,Finding category of related records.,C25372,,,No,No,Yes,No,7,No,GROUQUAL,CTTERM,QSCAT;RPCAT;CCCAT;VSCAT;EGCAT;IECAT;OECAT;QSCAT;RPCAT;CCCAT;IECAT;VSCAT
Finding,finding_subcategory,Finding Sub-Category,Finding sub-Category of related records.,C25692,,,No,No,Yes,No,8,No,GROUQUAL,TEXT,
Finding,position,Position,Position of subject,C71148,,,No,Yes,Yes,No,9,Yes,RECOQUAL,CTTERM,POSITION
Finding,normal_range_lower_limit,Lower Normal Limit,Lower Normal Limit,C82580,,,No,No,Yes,No,10,Yes,VARIQUAL,FLOAT,
Finding,normal_range_upper_limit,Upper Normal Limit,Upper Normal Limit,C70933,,,No,No,Yes,No,11,Yes,VARIQUAL,FLOAT,
Finding,normal_range_indicator,Reference Range Indicator,Reference Range Indicator,C82532,,,No,No,Yes,No,12,Yes,VARIQUAL,CTTERM,NRIND
Finding,location,Location,Location,C25341,,,No,Yes,Yes,No,13,Yes,RECOQUAL,CTTERM,LOC
Finding,laterality,Laterality,Laterality,C25185,,,No,Yes,Yes,No,14,Yes,RECOQUAL,CTTERM,LAT
Finding,directionality,Directionality,Anatomical location further detailing directionality,C54215,,,No,Yes,Yes,No,15,Yes,RECOQUAL,CTTERM,DIR
Finding,portion,Portion,"Anatomical location further detailing distribution. For e.g. ENTIRE, SINGLE, SEGMENT.",C103166,,,No,No,Yes,No,16,Yes,RECOQUAL,CTTERM,PORTOT
Finding,finding_result_category,Finding Result Category,Used to categorize the result of a finding.,C82498,,,No,No,Yes,No,17,Yes,VARIQUAL,CTTERM,MSRESCAT
Finding,completion_status,Completion Status,The completion status indicates that a question was not answered.,C41202,,,No,No,No,Yes,18,Yes,RECOQUAL,CTTERM,ND
Finding,reason_not_done,Reason Not Done,Describes the reason data was not collected. Used in conjunction with completion_status  when value is NOT DONE.,C82556,,,No,No,Yes,No,19,Yes,RECOQUAL,TEXT,
Finding,vendor_name,Vendor Name,Name or identifier of the laboratory or vendor who provided the test results.,C82537,,,No,No,Yes,No,20,Yes,RECOQUAL,TEXT,
Finding,loinc,LOINC Code,LOINC code,C82502,,,No,No,Yes,No,21,Yes,SYNOQUAL,TEXT,
Finding,specimen,Specimen,Defines the type of specimen used for a measurement.,C70713,,,No,Yes,Yes,No,22,Yes,RECOQUAL,CTTERM,SPECTYPE; GENSMP
Finding,anatomical_region,Anatomical Region,"Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen is obtained, as defined in the protocol",C170983,,,No,No,Yes,No,23,Yes,VARIQUAL,TEXT,
Finding,specimen_condition,Condition of the Specimen,Defines the condition of the specimen,C70714,,,No,No,Yes,No,24,Yes,RECOQUAL,CTTERM,SPECCOND
Finding,method,Method,Method of the test or examination,C82535,,,No,Yes,Yes,No,25,Yes,RECOQUAL,CTTERM,METHOD; EGMETHOD
Finding,analysis_method,Analysis Method,Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result,C117039,,,No,Yes,Yes,No,26,Yes,RECOQUAL,TEXT,
Finding,lead_to_collect_measurement,Lead to Collect Measurement,"The lead used for the measurement, examples, V1, V6, aVR, I, II, III.",C90013,,,No,No,Yes,No,27,Yes,RECOQUAL,CTTERM,LOC
Finding,fasting_status,Fasting Status,"Indicator used to identify fasting status such as Y, N, U, or null if not relevant.",C93566,,,No,Yes,Yes,No,28,Yes,RECOQUAL,CTTERM,NY
Finding,evaluator,Evaluator,Role of the person who provided the evaluation.,C51824,,,No,No,Yes,No,29,Yes,RECOQUAL,CTTERM,EVAL
Finding,evaluator_id,Evaluator Identifier,Used to distinguish multiple evaluators with the same role recorded in evaluator.,C117043,,,No,No,Yes,No,30,Yes,VARIQUAL,CTTERM,MEDEVAL
Finding,collection_datetime,Date and Time of Collection,Date/time of collection,C82515,,,No,No,No,Yes,31,Yes,TIMING,DATETIME,
Finding,observation_end_datetime,End Date and Time of Observation,End date/time of the observation,C82516,,,No,No,Yes,No,32,Yes,TIMING,DATETIME,
Finding,time_point,Time Point,Text description of time when a measurement or observation should be taken as defined in the protocol.,C82539,,,No,No,Yes,No,33,Yes,TIMING,TEXT,
Finding,elapsed_time,Elapsed Time,"Planned Elapsed time in ISO 8601 format which is relative to a planned fixed reference. It is to be used when there are repetitive measurements. It is not a clock time or a date/time variable, but an interval.",C82572,,,No,No,Yes,No,34,Yes,RECOQUAL,TEXT,
Finding,evaluation_interval,Evaluation Interval,Evaluation interval,C82534,,,No,No,Yes,No,35,Yes,TIMING,TEXT,
Finding,evaluation_interval_text,Evaluation Interval Text,"Evaluation interval associated with an observation, where the interval is not able to be represented in ISO 8601 format",C117044,,,No,No,Yes,No,36,Yes,TIMING,TEXT,
CategoricFindings,categoric_finding_original_result,Categoric Finding Original result,Categoric Finding Original result,C117221,,,Yes,No,No,No,1,Yes,RESUQUAL,CTTERM,HEP_CQ; NY
CategoricFindings,categoric_finding_original_result_unit,Categoric Finding Original result unit,Categoric Finding Original result unit,,,,No,No,Yes,No,2,Yes,VARIQUAL,CTTERM,UNIT
NumericFindings,numeric_finding_original_result,Numeric Finding Original result,Numeric Finding Original result,C117221,,,No,No,No,Yes,1,Yes,RESUQUAL,FLOAT,
NumericFindings,numeric_finding_original_result_unit,Numeric Finding Original result unit,Numeric Finding Original result unit,C82586,,,No,No,Yes,No,2,Yes,VARIQUAL,CTTERM,UNIT
NumericFindings,standard_unit,Standardised unit,Standardised unit,C82587,,,Yes,Yes,No,No,3,Yes,VARIQUAL,CTTERM,UNIT
NumericFindings,unit_dimension,Unit dimension,Unit dimension,C42568,,,Yes,No,No,No,4,Yes,VARIQUAL,CTTERM,UNITDIM
TextualFindings,textual_finding_original_result,Textual Finding Original result,Textual Finding Original result,C117221,,,No,No,No,Yes,1,Yes,RESUQUAL,TEXT,
Interventions,reference_id,Reference Identifier,Reference identifier,C82531,,,No,No,Yes,No,1,Yes,IDENTIFIER,TEXT,
Interventions,treatment,Name of the Treatment,Treatment name,C82542,,,No,No,No,Yes,2,Yes,TOPIC,TEXT,ECTRT;EXTRT
Interventions,mood,Mood,Mode or condition of the record specifying whether the intervention is intended to happen or has happened.,C117051,,,No,No,Yes,No,3,Yes,RECOQUAL,CTTERM,BRDGMOOD
Interventions,intervention_category,Intervention Category,Intervention category of related records.,C25372,,,No,No,Yes,No,4,No,GROUQUAL,CTTERM,AGCAT;CMCAT;ECCAT; EXCAT;SUCAT
Interventions,intervention_subcategory,Intervention Sub-Category,completion status,C25692,,,No,No,Yes,No,5,No,GROUQUAL,CTTERM,MHSCAT; DSSCAT
Interventions,prespecified,Intervention Prespecified,"An indication or description that something was previously determined, characterized, or detailed.",C82510,,,No,No,Yes,No,6,No,VARIQUAL,CTTERM,NY
Interventions,intervention_occurred,Intervention Occurred,Used to indicate whether a treatment occurred when information about the occurrence is solicited.,C127786,,,No,No,Yes,No,7,Yes,RECOQUAL,CTTERM,NY
Interventions,completion_status,Completion Status,The completion status indicates that a question was not answered.,C41202,,,No,No,No,Yes,8,Yes,RECOQUAL,CTTERM,ND
Interventions,reason_not_done,Reason Not Done,Describes the reason data was not collected. Used in conjunction with completion_status  when value is NOT DONE.,C82556,,,No,No,Yes,No,9,Yes,RECOQUAL,TEXT,
Interventions,dose,Dose,Amount of treatment in numeric format,C25488,,,No,No,Yes,No,10,Yes,RECOQUAL,FLOAT,
Interventions,dose_description,Dose Description,Amount of treatment in non-numeric format,C70961,,,No,No,Yes,No,11,Yes,RECOQUAL,TEXT,
Interventions,dose_unit,Dose Unit,Unit for dose,C166259,,,No,No,Yes,No,12,Yes,VARIQUAL,CTTERM,UNIT
Interventions,dose_form,Dose Form,Dose form for treatment,C42636,,,No,No,Yes,No,13,Yes,VARIQUAL,CTTERM,FRM
Interventions,frequency,Frequence,Intended schedule or regimen for the Intervention,C71113,,,No,No,Yes,No,14,Yes,VARIQUAL,CTTERM,FREQ
Interventions,total_daily_dose,Total Daily Dose,Total daily dose of treatment,C70888,,,No,No,Yes,No,15,Yes,RECOQUAL,FLOAT,
Interventions,dose_regimen,Dose Regimen,Intended schedule or regimen for the Intervention,C71137,,,No,No,Yes,No,16,Yes,VARIQUAL,TEXT,
Interventions,route,Route,Route of administration of treatment,C38114,,,No,No,Yes,No,17,Yes,VARIQUAL,CTTERM,ROUTE
Interventions,location,Location,Location,C25341,,,No,No,Yes,No,18,Yes,RECOQUAL,CTTERM,LOC
Interventions,laterality,Laterality,Laterality,C25185,,,No,No,Yes,No,19,Yes,RECOQUAL,CTTERM,LAT
Interventions,directionality,Directionality,Anatomical location further detailing directionality,C54215,,,No,No,Yes,No,20,Yes,RECOQUAL,CTTERM,DIR
